split,category_id,class_name,instances,images_with_class
train,0,cotton_aphid,1123,695
train,1,mealy_bug,512,280
train,2,red_cotton_bug,154,148
train,3,leaf_hopper_jassids,3370,2093
train,4,american_bollworm,523,423
train,5,pink_bollworm,518,255
train,6,army_worm,218,214
train,7,thrips,423,231
train,8,whitefly,499,98
train,9,bacterial_leaf_blight,4732,4723
train,10,alternaria_leaf_spot,928,928
train,11,cotton_leaf_curl_virus,2877,2668
train,12,fusarium_wilt,1785,1783
train,13,verticillium_wilt,1028,1028
train,14,powdery_mildew,143,137
train,15,leaf_variegation,712,712
train,16,leaf_reddening,1404,1400
train,17,herbicide_growth_damage,943,943
train,18,boll_rot,213,213
train,19,open_cotton_boll,15100,531
train,20,healthy,3782,3771
val,0,cotton_aphid,133,88
val,1,mealy_bug,67,35
val,2,red_cotton_bug,19,19
val,3,leaf_hopper_jassids,424,263
val,4,american_bollworm,73,52
val,5,pink_bollworm,56,33
val,6,army_worm,27,27
val,7,thrips,38,29
val,8,whitefly,72,13
val,9,bacterial_leaf_blight,590,590
val,10,alternaria_leaf_spot,116,116
val,11,cotton_leaf_curl_virus,362,333
val,12,fusarium_wilt,224,224
val,13,verticillium_wilt,130,130
val,14,powdery_mildew,19,18
val,15,leaf_variegation,89,89
val,16,leaf_reddening,180,175
val,17,herbicide_growth_damage,118,118
val,18,boll_rot,27,27
val,19,open_cotton_boll,1736,66
val,20,healthy,482,473
test,0,cotton_aphid,146,86
test,1,mealy_bug,75,35
test,2,red_cotton_bug,20,19
test,3,leaf_hopper_jassids,376,263
test,4,american_bollworm,75,52
test,5,pink_bollworm,51,32
test,6,army_worm,27,26
test,7,thrips,50,28
test,8,whitefly,53,12
test,9,bacterial_leaf_blight,591,590
test,10,alternaria_leaf_spot,116,116
test,11,cotton_leaf_curl_virus,362,333
test,12,fusarium_wilt,224,223
test,13,verticillium_wilt,130,130
test,14,powdery_mildew,19,18
test,15,leaf_variegation,89,89
test,16,leaf_reddening,174,174
test,17,herbicide_growth_damage,118,118
test,18,boll_rot,27,27
test,19,open_cotton_boll,1885,66
test,20,healthy,471,471
