split,category_id,class_name,instances,images_with_class
train,0,cotton_aphid,300,70
train,1,mealy_bug,300,115
train,2,leaf_hopper_jassids,300,58
train,3,american_bollworm,300,211
train,4,pink_bollworm,300,87
train,5,thrips,300,140
train,6,whitefly,301,56
train,7,bacterial_leaf_blight,300,300
train,8,alternaria_leaf_spot,300,300
train,9,cotton_leaf_curl_virus,300,150
train,10,fusarium_wilt,300,300
train,11,verticillium_wilt,300,300
train,12,leaf_variegation,300,300
train,13,leaf_reddening,300,300
train,14,herbicide_growth_damage,300,300
train,15,open_cotton_boll,586,25
train,16,healthy,300,300
val,0,cotton_aphid,57,12
val,1,mealy_bug,54,12
val,2,leaf_hopper_jassids,54,12
val,3,american_bollworm,45,13
val,4,pink_bollworm,55,12
val,5,thrips,53,12
val,6,whitefly,56,12
val,7,bacterial_leaf_blight,45,36
val,8,alternaria_leaf_spot,45,45
val,9,cotton_leaf_curl_virus,45,15
val,10,fusarium_wilt,45,43
val,11,verticillium_wilt,45,45
val,12,leaf_variegation,45,45
val,13,leaf_reddening,45,36
val,14,herbicide_growth_damage,45,45
val,15,open_cotton_boll,138,8
val,16,healthy,45,25
test,0,cotton_aphid,146,86
test,1,mealy_bug,75,35
test,2,leaf_hopper_jassids,376,263
test,3,american_bollworm,75,52
test,4,pink_bollworm,51,32
test,5,thrips,50,28
test,6,whitefly,53,12
test,7,bacterial_leaf_blight,591,590
test,8,alternaria_leaf_spot,116,116
test,9,cotton_leaf_curl_virus,362,333
test,10,fusarium_wilt,224,223
test,11,verticillium_wilt,130,130
test,12,leaf_variegation,89,89
test,13,leaf_reddening,174,174
test,14,herbicide_growth_damage,118,118
test,15,open_cotton_boll,1885,66
test,16,healthy,471,471
