module,source_file,start_line,end_line,excerpt_file
PrewittEdgeGuidedEnhance,engine/rtv4/hybrid_encoder.py,220,259,extracted_modules/engine__rtv4__hybrid_encoder__PrewittEdgeGuidedEnhance.py
PrewittFranklinEdgeGuidedEnhance,engine/rtv4/hybrid_encoder.py,262,458,extracted_modules/engine__rtv4__hybrid_encoder__PrewittFranklinEdgeGuidedEnhance.py
SmallLesionCrossScaleEnhance,engine/rtv4/hybrid_encoder.py,461,476,extracted_modules/engine__rtv4__hybrid_encoder__SmallLesionCrossScaleEnhance.py
EfficientChannelSpatialAttention,engine/rtv4/hybrid_encoder.py,479,497,extracted_modules/engine__rtv4__hybrid_encoder__EfficientChannelSpatialAttention.py
BackgroundSuppressionGate,engine/rtv4/hybrid_encoder.py,500,514,extracted_modules/engine__rtv4__hybrid_encoder__BackgroundSuppressionGate.py
ResidualContextRefine,engine/rtv4/hybrid_encoder.py,517,531,extracted_modules/engine__rtv4__hybrid_encoder__ResidualContextRefine.py
CARAFEUpsample,engine/rtv4/hybrid_encoder.py,548,595,extracted_modules/engine__rtv4__hybrid_encoder__CARAFEUpsample.py
BiFPNFusionBlock,engine/rtv4/hybrid_encoder.py,598,614,extracted_modules/engine__rtv4__hybrid_encoder__BiFPNFusionBlock.py
ECALayer,engine/rtv4/hybrid_encoder.py,617,633,extracted_modules/engine__rtv4__hybrid_encoder__ECALayer.py
CBAMLayer,engine/rtv4/hybrid_encoder.py,636,661,extracted_modules/engine__rtv4__hybrid_encoder__CBAMLayer.py
CoordinateAttentionExact,engine/rtv4/hybrid_encoder.py,664,694,extracted_modules/engine__rtv4__hybrid_encoder__CoordinateAttentionExact.py
LSKBlock,engine/rtv4/hybrid_encoder.py,697,723,extracted_modules/engine__rtv4__hybrid_encoder__LSKBlock.py
PartialConv2d,engine/rtv4/hybrid_encoder.py,726,739,extracted_modules/engine__rtv4__hybrid_encoder__PartialConv2d.py
FasterNetBlock,engine/rtv4/hybrid_encoder.py,742,757,extracted_modules/engine__rtv4__hybrid_encoder__FasterNetBlock.py
RepVGGEnhanceBlock,engine/rtv4/hybrid_encoder.py,760,773,extracted_modules/engine__rtv4__hybrid_encoder__RepVGGEnhanceBlock.py
GatherDistributeContext,engine/rtv4/hybrid_encoder.py,776,802,extracted_modules/engine__rtv4__hybrid_encoder__GatherDistributeContext.py
CoordinateAttentionEnhance,engine/rtv4/hybrid_encoder.py,805,824,extracted_modules/engine__rtv4__hybrid_encoder__CoordinateAttentionEnhance.py
HighFrequencyResidualEnhance,engine/rtv4/hybrid_encoder.py,827,841,extracted_modules/engine__rtv4__hybrid_encoder__HighFrequencyResidualEnhance.py
GlobalContextCalibration,engine/rtv4/hybrid_encoder.py,844,857,extracted_modules/engine__rtv4__hybrid_encoder__GlobalContextCalibration.py
HardClassCopyPaste,engine/data/transforms/copy_paste.py,21,220,extracted_modules/engine__data__transforms__copy_paste__HardClassCopyPaste.py
RTv4Criterion,engine/rtv4/rtv4_criterion.py,28,696,extracted_modules/engine__rtv4__rtv4_criterion__RTv4Criterion.py
DetSolver,engine/solver/det_solver.py,23,387,extracted_modules/engine__solver__det_solver__DetSolver.py
