epoch,baseline_mAP,baseline_AP50,baseline_AP75,baseline_APS,baseline_APM,baseline_APL,improved_v6_mAP,improved_v6_AP50,improved_v6_AP75,improved_v6_APS,improved_v6_APM,improved_v6_APL,delta_AP50_baseline_minus_improved,delta_mAP_baseline_minus_improved
0,0.371383,0.392187,0.367609,0.012074,0.124306,0.390809,0.429577,0.456843,0.426993,0.015123,0.121826,0.451164,-0.064656,-0.058194
1,0.533876,0.582373,0.524904,0.042837,0.169843,0.563339,0.542867,0.607861,0.532040,0.056637,0.173269,0.575225,-0.025488,-0.008991
2,0.571786,0.640263,0.561378,0.102181,0.209415,0.607366,0.590853,0.685340,0.569409,0.082616,0.215809,0.626096,-0.045077,-0.019067
3,0.596432,0.671285,0.589660,0.122824,0.260691,0.630946,0.622572,0.737083,0.603681,0.131661,0.265740,0.658482,-0.065799,-0.026140
4,0.600072,0.683204,0.591898,0.101676,0.253442,0.632989,0.623577,0.740612,0.609430,0.104022,0.286929,0.657539,-0.057408,-0.023505
5,0.618730,0.709397,0.615774,0.104307,0.270278,0.651617,0.636980,0.759161,0.622477,0.107508,0.294620,0.673073,-0.049764,-0.018250
6,0.626549,0.718219,0.618906,0.120545,0.289570,0.664064,0.646251,0.766802,0.639037,0.130201,0.300201,0.682757,-0.048583,-0.019702
7,0.639859,0.734949,0.633918,0.134621,0.308915,0.678295,0.657041,0.783734,0.651869,0.136187,0.324379,0.694734,-0.048785,-0.017182
8,0.650542,0.752192,0.644910,0.138448,0.325501,0.691366,0.665054,0.797426,0.663750,0.140849,0.335040,0.702963,-0.045233,-0.014513
9,0.663433,0.771517,0.658691,0.142183,0.350426,0.707291,0.679240,0.809574,0.676214,0.159830,0.353632,0.714986,-0.038057,-0.015807
10,0.673728,0.781635,0.669841,0.160040,0.363744,0.718917,0.689009,0.822957,0.684283,0.145537,0.370773,0.726286,-0.041322,-0.015281
11,0.683845,0.793696,0.682996,0.159811,0.376023,0.729873,0.696794,0.829370,0.693578,0.177464,0.385586,0.734479,-0.035674,-0.012949
12,0.692111,0.801908,0.693349,0.164359,0.391260,0.737408,0.704241,0.840015,0.702389,0.180005,0.401566,0.742774,-0.038108,-0.012130
13,0.699235,0.809536,0.701280,0.169043,0.397210,0.744055,0.712640,0.849900,0.711473,0.183045,0.422929,0.751221,-0.040364,-0.013405
14,0.705394,0.816845,0.711032,0.170607,0.395454,0.750251,0.719059,0.853587,0.721034,0.181092,0.424208,0.758139,-0.036742,-0.013666
15,0.713176,0.825942,0.715788,0.184374,0.418030,0.757729,0.725261,0.859817,0.728306,0.183961,0.436051,0.764784,-0.033875,-0.012085
16,0.720667,0.835433,0.726503,0.190608,0.446307,0.763674,0.728480,0.862284,0.726308,0.186710,0.445334,0.769858,-0.026850,-0.007813
17,0.727446,0.847584,0.727152,0.192288,0.457039,0.769615,0.730768,0.864464,0.727833,0.190492,0.447602,0.772351,-0.016880,-0.003321
18,0.732325,0.851803,0.734603,0.182617,0.467246,0.772624,0.736780,0.870459,0.735133,0.193654,0.458070,0.777419,-0.018656,-0.004455
19,0.736925,0.860211,0.741189,0.185967,0.477570,0.776346,0.744515,0.881260,0.747210,0.197329,0.462751,0.784883,-0.021049,-0.007590
20,0.743479,0.867527,0.745273,0.184208,0.494345,0.784250,0.745366,0.882253,0.748823,0.198864,0.468616,0.785969,-0.014726,-0.001886
21,0.746414,0.871394,0.750903,0.190320,0.502664,0.787143,0.749878,0.887522,0.755110,0.204717,0.467686,0.790033,-0.016128,-0.003464
22,0.749853,0.872329,0.756780,0.193104,0.513497,0.791226,0.753908,0.892103,0.764050,0.209015,0.472385,0.795382,-0.019774,-0.004056
23,0.751427,0.872547,0.758983,0.210509,0.518606,0.792934,0.755930,0.892041,0.765740,0.208605,0.486426,0.795855,-0.019494,-0.004503
24,0.758090,0.881391,0.764512,0.213041,0.527697,0.800407,0.758421,0.893876,0.766888,0.207026,0.491859,0.799496,-0.012485,-0.000331
25,0.758774,0.881376,0.767055,0.214616,0.525760,0.800994,0.759657,0.894248,0.763025,0.212039,0.493942,0.801579,-0.012872,-0.000883
26,0.759116,0.879599,0.765677,0.219002,0.533366,0.801597,0.763394,0.896046,0.781120,0.212606,0.492048,0.805984,-0.016447,-0.004278
27,0.761718,0.882767,0.767590,0.221412,0.538191,0.802144,0.764831,0.894638,0.781075,0.220267,0.498219,0.807893,-0.011871,-0.003113
28,0.766330,0.888879,0.770363,0.221118,0.540698,0.806529,0.769394,0.898863,0.783959,0.224733,0.508607,0.812359,-0.009984,-0.003064
29,0.768246,0.895745,0.770316,0.226509,0.547266,0.810058,0.770541,0.900802,0.781889,0.236889,0.494301,0.814586,-0.005057,-0.002295
